year,state,state_ID,gender,1st_name,2nd_name,3rd_name,4th_name,5th_name,6th_name,7th_name,8th_name,9th_name,10th_name,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1950,TX,019,M,James,Robert,John,David,Michael,William,Charles,Larry,Richard,Gary,4177,3709,3302,3046,2726,2472,2273,2179,2082,1642
1950,MN,020,M,Michael,James,David,John,Robert,Thomas,Steven,Richard,Gary,William,1682,1653,1645,1510,1506,1389,1207,1204,977,907
1950,IA,021,M,David,James,Michael,John,Robert,Richard,Steven,Dennis,Thomas,Gary,1412,1323,1317,1237,1216,953,909,893,827,798
1950,MO,022,M,James,Robert,Michael,John,David,William,Gary,Richard,Larry,Thomas,2195,2023,2000,1923,1557,1401,1249,1200,1086,1003
1950,AR,023,M,James,Larry,Robert,John,Charles,William,David,Jerry,Michael,Gary,1429,900,745,729,712,652,539,514,477,473
1950,LA,024,M,James,John,Robert,Charles,Michael,Larry,William,Joseph,David,Donald,1534,1338,1238,1054,1041,792,765,760,741,634
1950,WI,025,M,James,Michael,Robert,John,Thomas,David,Richard,Gary,William,Dennis,2135,2040,1950,1941,1775,1773,1434,1207,1207,961
1950,MI,026,M,Robert,James,Michael,David,John,Thomas,William,Richard,Gary,Charles,4012,3827,3755,3489,3383,2640,2634,2470,1979,1594
1950,IL,027,M,James,Robert,John,Michael,William,David,Richard,Thomas,Charles,Gary,4986,4853,4731,4612,3376,3357,3046,2929,1993,1834
1950,IN,028,M,Michael,James,Robert,John,David,William,Richard,Thomas,Larry,Steven,2346,2260,2060,2045,1994,1495,1374,1322,1080,1079
1950,OH,029,M,James,Robert,John,Michael,David,William,Thomas,Richard,Gary,Charles,4812,4708,4589,4009,3998,3525,3161,3141,2293,2103
1950,KY,030,M,James,William,Michael,Robert,John,Larry,David,Charles,Gary,Donald,2252,1486,1265,1262,1217,1215,1180,1133,863,699
1950,TN,031,M,James,William,Robert,Larry,John,Charles,David,Michael,Jerry,Gary,2835,1674,1568,1389,1385,1369,1224,1029,903,860
1950,MS,032,M,James,Robert,Willie,John,Charles,William,Larry,David,George,Jerry,1979,1393,1144,1090,1013,970,812,605,476,475
1950,AL,033,M,James,Robert,John,William,Charles,Larry,Willie,David,Michael,Jerry,2659,1420,1410,1379,1207,1178,953,857,782,730
1950,ME,034,M,Robert,David,Richard,Michael,John,James,William,Stephen,Paul,Donald,484,432,420,409,372,357,229,228,207,204
1950,VT,035,M,David,John,Robert,Richard,Michael,James,William,Gary,Thomas,Paul,212,203,192,186,172,158,122,115,112,89
1950,NH,036,M,Robert,Richard,David,John,Michael,James,William,Thomas,Paul,Ronald,314,268,255,253,213,201,180,169,146,130
1950,NY,037,M,Robert,John,James,Michael,Richard,William,Thomas,David,Joseph,Charles,8627,8311,6199,6199,5722,5532,5008,4475,4408,2757
1950,MA,038,M,Robert,John,Richard,James,William,David,Michael,Paul,Thomas,Stephen,3212,3077,2251,2213,2089,1927,1865,1729,1502,1295
1950,CT,039,M,Robert,John,William,Richard,David,James,Michael,Thomas,Joseph,Paul,1253,1200,860,820,801,767,701,686,546,426
1950,RI,040,M,Robert,John,Richard,Michael,David,William,James,Paul,Joseph,Thomas,550,538,375,345,343,307,301,278,253,241
1950,PA,041,M,John,Robert,James,William,David,Thomas,Richard,Michael,Joseph,Charles,6859,6563,5552,4884,4309,3932,3799,3700,3422,2556
1950,NJ,042,M,Robert,John,James,William,Richard,Thomas,Michael,Joseph,David,Charles,3164,3032,2136,2080,1800,1756,1682,1622,1137,987
1950,DE,043,M,William,John,Robert,James,David,Richard,Michael,Thomas,Joseph,Charles,233,224,223,168,125,111,106,96,95,92
1950,MD,044,M,John,Robert,James,William,Michael,Charles,David,Richard,Thomas,Joseph,1286,1279,1265,1152,979,838,782,713,704,563
1950,WV,045,M,James,Robert,John,William,David,Charles,Michael,Larry,Gary,Richard,1435,1117,1098,1029,1012,872,810,718,626,584
1950,VA,046,M,James,William,Robert,John,Charles,Michael,David,Larry,Thomas,Richard,2357,1788,1666,1561,1088,1055,992,975,878,806
1950,NC,047,M,James,William,Robert,John,Larry,Charles,David,Michael,Thomas,Jerry,3322,2311,1831,1706,1601,1494,1363,1130,928,916
1950,SC,048,M,James,John,William,Robert,Charles,Willie,David,Larry,Thomas,Michael,2108,1182,1145,1111,858,687,654,624,605,512
1950,GA,049,M,James,Robert,John,William,Charles,Larry,Willie,David,Michael,Thomas,2712,1650,1639,1567,1321,1309,1161,1099,911,792
1950,DC,050,M,John,James,Robert,Michael,William,David,Richard,Thomas,Charles,Joseph,808,702,668,648,614,378,378,344,338,277
1950,FL,051,M,James,Robert,John,William,Charles,Michael,David,Richard,Thomas,Larry,1824,1471,1382,1141,904,870,846,795,583,560
1960,HI,001,M,David,Michael,John,Robert,Mark,James,William,Richard,Brian,Steven,245,245,234,197,177,174,139,127,119,114
1960,AK,002,M,David,Michael,Robert,John,James,Mark,Richard,William,Steven,Thomas,152,140,136,125,124,92,86,74,73,66
1960,WA,003,M,David,Michael,Mark,John,Robert,James,Richard,Scott,Steven,William,1375,1159,1011,994,959,880,659,608,577,540
1960,OR,004,M,David,Michael,Mark,Robert,John,James,Richard,Steven,Scott,Daniel,855,668,644,516,513,493,361,338,311,295
1960,CA,005,M,David,Michael,John,Robert,Mark,James,Richard,Steven,William,Daniel,7922,7392,6530,6430,5543,5137,4192,3588,3257,2541
1960,ID,006,M,David,Michael,Robert,John,Mark,James,Steven,Richard,Kevin,William,283,259,239,206,189,182,161,159,151,133
1960,NV,007,M,Robert,David,Michael,James,Mark,John,William,Richard,Steven,Kevin,138,136,131,117,91,88,88,70,60,54
1960,MT,008,M,David,Mark,Michael,John,Robert,James,William,Daniel,Thomas,Richard,267,263,251,238,228,222,177,144,140,138
