year,state,state_ID,gender,first,second,third,forth,fifth,sixth,seventh,eighth,nineth,tenth,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1970,OR,4,F,Jennifer,Michelle,Lisa,Kimberly,Angela,Julie,Amy,Shannon,Heather,Melissa,486,385,314,302,286,240,224,211,210,173
1970,CA,5,F,Jennifer,Michelle,Lisa,Kimberly,Julie,Maria,Laura,Shannon,Christine,Heather,4696,3738,3704,2702,1883,1711,1680,1650,1640,1609
1970,ID,6,F,Jennifer,Angela,Lisa,Michelle,Kimberly,Amy,Heather,Wendy,Stephanie,Lori,141,124,119,111,102,101,73,72,69,63
1970,NV,7,F,Jennifer,Michelle,Lisa,Kimberly,Shannon,Angela,Melissa,Christine,Elizabeth,Dawn,137,98,90,57,57,54,54,47,47,43
1970,MT,8,F,Michelle,Jennifer,Lisa,Heather,Kimberly,Julie,Amy,Angela,Melissa,Tammy,129,120,119,86,82,77,69,64,64,62
1970,WY,9,F,Kimberly,Amy,Michelle,Lisa,Jennifer,Heather,Tracy,Laura,Tina,Stephanie,56,55,55,47,44,37,36,33,33,32
1970,UT,10,F,Jennifer,Michelle,Lisa,Angela,Kimberly,Amy,Julie,Heather,Stephanie,Wendy,442,307,269,201,200,198,186,170,160,134
1970,AZ,11,F,Jennifer,Lisa,Michelle,Kimberly,Melissa,Amy,Julie,Maria,Shannon,Mary,374,355,350,273,212,181,178,172,172,169
1970,CO,12,F,Jennifer,Michelle,Lisa,Kimberly,Amy,Heather,Julie,Melissa,Shannon,Stephanie,527,525,413,330,282,237,211,207,207,200
1970,NM,13,F,Michelle,Lisa,Jennifer,Melissa,Mary,Kimberly,Angela,Patricia,Elizabeth,Monica,210,180,174,171,111,110,106,87,83,82
1970,ND,14,F,Michelle,Lisa,Jennifer,Melissa,Kimberly,Amy,Julie,Susan,Jodi,Angela,157,134,121,96,90,81,78,72,62,59
1970,SD,15,F,Lisa,Michelle,Amy,Jennifer,Kimberly,Dawn,Lori,Julie,Angela,Tammy,158,143,132,86,81,80,78,75,73,69
1970,NE,16,F,Jennifer,Michelle,Amy,Lisa,Kimberly,Angela,Julie,Mary,Tammy,Tracy,358,327,286,281,275,212,207,145,140,138
1970,KS,17,F,Jennifer,Michelle,Amy,Kimberly,Angela,Lisa,Melissa,Julie,Tammy,Shannon,480,428,354,343,335,315,248,203,197,193
